neighborhood,city_name
Western Addition,San Francisco
Bernal Heights,San Francisco
Haight Ashbury,San Francisco
Mission,San Francisco
Bayview,San Francisco
Outer Richmond,San Francisco
Nob Hill,San Francisco
Castro/Upper Market,San Francisco
Inner Richmond,San Francisco
Noe Valley,San Francisco
Pacific Heights,San Francisco
Diamond Heights,San Francisco
Outer Mission,San Francisco
Twin Peaks,San Francisco
Potrero Hill,San Francisco
Glen Park,San Francisco
Russian Hill,San Francisco
Excelsior,San Francisco
North Beach,San Francisco
Downtown/Civic Center,San Francisco
Inner Sunset,San Francisco
Parkside,San Francisco
Outer Sunset,San Francisco
South of Market,San Francisco
West of Twin Peaks,San Francisco
Presidio Heights,San Francisco
Ocean View,San Francisco
Visitacion Valley,San Francisco
Crocker Amazon,San Francisco
Presidio,San Francisco
Seacliff,San Francisco
Historic Anacostia,Washington D.C.
"Capitol Hill, Lincoln Park",Washington D.C.
"Howard University, Le Droit Park, Cardozo/Shaw",Washington D.C.
"Dupont Circle, Connecticut Avenue/K Street",Washington D.C.
"Brightwood Park, Crestwood, Petworth",Washington D.C.
"Takoma, Brightwood, Manor Park",Washington D.C.
"Edgewood, Bloomingdale, Truxton Circle, Eckington",Washington D.C.
"Shaw, Logan Circle",Washington D.C.
"Congress Heights, Bellevue, Washington Highlands",Washington D.C.
"Colonial Village, Shepherd Park, North Portal Estates",Washington D.C.
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Washington D.C.
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Washington D.C.
"Friendship Heights, American University Park, Tenleytown",Washington D.C.
"Kalorama Heights, Adams Morgan, Lanier Heights",Washington D.C.
"West End, Foggy Bottom, GWU",Washington D.C.
"Brookland, Brentwood, Langdon",Washington D.C.
"Union Station, Stanton Park, Kingman Park",Washington D.C.
"Georgetown, Burleith/Hillandale",Washington D.C.
"Capitol View, Marshall Heights, Benning Heights",Washington D.C.
"Douglas, Shipley Terrace",Washington D.C.
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Washington D.C.
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Washington D.C.
"Cathedral Heights, McLean Gardens, Glover Park",Washington D.C.
"Hawthorne, Barnaby Woods, Chevy Chase",Washington D.C.
"North Michigan Park, Michigan Park, University Heights",Washington D.C.
